Country,Year,Defense_Percentage,Education_Percentage,Health_Percentage,Interest_Payments_Percentage,Total_Budget_Billions_USD,Infrastructure_Percentage,Agriculture_Percentage,State_Transfers_Percentage,Social_Welfare_Percentage,Administration_and_Others_Percentage,Defense_Amount_Billions_USD,Education_Amount_Billions_USD,Health_Amount_Billions_USD,Interest_Payments_Amount_Billions_USD,Infrastructure_Amount_Billions_USD,Agriculture_Amount_Billions_USD,State_Transfers_Amount_Billions_USD,Social_Welfare_Amount_Billions_USD,Administration_and_Others_Amount_Billions_USD,Total_Social_Spending,Development_Spending,Governance_Spending,Social_Spending_%,Development_Spending_%,Governance_Spending_%,Total_Allocated,Budget_Remaining
Argentina,1946,5.78,15.4,17.82,8.65,1.552,13.09,7.85,10.47,10.47,10.47,0.09,0.239,0.276,0.134,0.203,0.122,0.162,0.162,0.162,0.677,0.325,0.386,43.621134020618555,20.940721649484537,24.871134020618555,1.5499999999999998,0.002000000000000224
Argentina,1947,5.78,15.4,17.82,8.65,1.629,13.09,7.85,10.47,10.47,10.47,0.094,0.251,0.29,0.141,0.213,0.128,0.171,0.171,0.171,0.712,0.34099999999999997,0.406,43.70779619398404,20.933087783916513,24.92326580724371,1.6300000000000001,-0.001000000000000112
Argentina,1948,5.78,15.4,17.82,8.65,1.711,13.09,7.85,10.47,10.47,10.47,0.099,0.263,0.305,0.148,0.224,0.134,0.179,0.179,0.179,0.7470000000000001,0.358,0.42600000000000005,43.65867913500877,20.92343658679135,24.897720631209822,1.7100000000000002,0.0009999999999998899
Argentina,1949,5.78,15.4,17.82,8.65,1.796,13.09,7.85,10.47,10.47,10.47,0.104,0.277,0.32,0.155,0.235,0.141,0.188,0.188,0.188,0.7849999999999999,0.376,0.44699999999999995,43.70824053452115,20.93541202672606,24.88864142538975,1.796,0.0
Argentina,1950,5.78,15.4,17.82,8.65,1.886,13.09,7.85,10.47,10.47,10.47,0.109,0.29,0.336,0.163,0.247,0.148,0.197,0.197,0.197,0.823,0.395,0.469,43.637327677624604,20.943796394485688,24.86744432661718,1.8840000000000001,0.0019999999999997797
Argentina,1951,5.78,15.4,17.82,8.65,1.98,13.09,7.85,10.47,10.47,10.47,0.114,0.305,0.353,0.171,0.259,0.155,0.207,0.207,0.207,0.8649999999999999,0.41400000000000003,0.492,43.68686868686868,20.90909090909091,24.848484848484848,1.9780000000000002,0.0019999999999997797
Argentina,1952,5.78,15.4,17.82,8.65,2.079,13.09,7.85,10.47,10.47,10.47,0.12,0.32,0.371,0.18,0.272,0.163,0.218,0.218,0.218,0.909,0.43500000000000005,0.518,43.72294372294372,20.923520923520925,24.915824915824913,2.08,-0.0009999999999998899
Argentina,1953,5.78,15.4,17.82,8.65,2.183,13.09,7.85,10.47,10.47,10.47,0.126,0.336,0.389,0.189,0.286,0.171,0.229,0.229,0.229,0.9540000000000001,0.45699999999999996,0.544,43.701328447091164,20.93449381584975,24.919835089326618,2.184,-0.001000000000000334
Argentina,1954,5.78,15.4,17.82,8.65,2.292,13.09,7.85,10.47,10.47,10.47,0.132,0.353,0.408,0.198,0.3,0.18,0.24,0.24,0.24,1.001,0.48,0.5700000000000001,43.673647469458984,20.94240837696335,24.869109947643985,2.2910000000000004,0.0009999999999994458
Argentina,1955,5.78,15.4,17.82,8.65,2.407,13.09,7.85,10.47,10.47,10.47,0.139,0.371,0.429,0.208,0.315,0.189,0.252,0.252,0.252,1.052,0.504,0.599,43.705857914416285,20.938928126298297,24.885749896136268,2.407,0.0
Argentina,1956,5.78,15.4,17.82,8.65,2.527,13.09,7.85,10.47,10.47,10.47,0.146,0.389,0.45,0.219,0.331,0.198,0.265,0.265,0.265,1.104,0.529,0.63,43.688167787890784,20.933913731697665,24.93074792243767,2.5280000000000005,-0.001000000000000334
Argentina,1957,5.78,15.4,17.82,8.65,2.654,13.09,7.85,10.47,10.47,10.47,0.153,0.409,0.473,0.23,0.347,0.208,0.278,0.278,0.278,1.16,0.5549999999999999,0.661,43.70761115297664,20.911831198191408,24.90580256217031,2.654,0.0
Argentina,1958,5.78,15.4,17.82,8.65,2.786,13.09,7.85,10.47,10.47,10.47,0.161,0.429,0.497,0.241,0.365,0.219,0.292,0.292,0.292,1.218,0.584,0.694,43.71859296482412,20.961952620244077,24.9102656137832,2.7879999999999994,-0.0019999999999993356
Argentina,1959,5.78,15.4,17.82,8.65,2.926,13.09,7.85,10.47,10.47,10.47,0.169,0.451,0.521,0.253,0.383,0.23,0.306,0.306,0.306,1.278,0.613,0.728,43.67737525632263,20.950102529049897,24.880382775119617,2.9250000000000003,0.0009999999999998899
Argentina,1960,5.78,15.4,17.82,8.65,3.072,13.09,7.85,10.47,10.47,10.47,0.178,0.473,0.547,0.266,0.402,0.241,0.322,0.322,0.322,1.342,0.643,0.766,43.684895833333336,20.930989583333336,24.934895833333336,3.0730000000000004,-0.001000000000000334
Argentina,1961,5.78,15.4,17.82,8.65,3.898,13.09,7.85,10.47,10.47,10.47,0.225,0.6,0.695,0.337,0.51,0.306,0.408,0.408,0.408,1.7029999999999998,0.8160000000000001,0.97,43.689071318624926,20.933812211390457,24.88455618265777,3.897,0.001000000000000334
Argentina,1962,5.78,15.4,17.82,8.65,3.551,13.09,7.85,10.47,10.47,10.47,0.205,0.547,0.633,0.307,0.465,0.279,0.372,0.372,0.372,1.552,0.744,0.8839999999999999,43.70599831033511,20.95184455083075,24.894395944804277,3.5519999999999996,-0.0009999999999994458
Argentina,1963,5.78,15.4,17.82,8.65,3.538,13.09,7.85,10.47,10.47,10.47,0.204,0.545,0.63,0.306,0.463,0.278,0.37,0.37,0.37,1.545,0.7410000000000001,0.8799999999999999,43.66873940079141,20.944036178632,24.872809496890895,3.5360000000000005,0.0019999999999993356
Argentina,1964,5.78,15.4,17.82,8.65,4.958,13.09,7.85,10.47,10.47,10.47,0.287,0.763,0.883,0.429,0.649,0.389,0.519,0.519,0.519,2.165,1.038,1.235,43.666801129487695,20.935861234368698,24.90923759580476,4.957000000000001,0.0009999999999994458
Argentina,1965,5.78,15.4,17.82,8.65,5.488,13.09,7.85,10.47,10.47,10.47,0.317,0.845,0.978,0.475,0.718,0.431,0.575,0.575,0.575,2.3979999999999997,1.149,1.367,43.695335276967924,20.936588921282798,24.90889212827988,5.489,-0.0009999999999994458
Argentina,1966,5.78,15.4,17.82,8.65,5.543,13.09,7.85,10.47,10.47,10.47,0.32,0.854,0.988,0.48,0.726,0.435,0.58,0.58,0.58,2.422,1.161,1.38,43.694750135305796,20.945336460400505,24.896265560165972,5.543,0.0
Argentina,1967,5.78,15.4,17.82,8.65,4.697,13.09,7.85,10.47,10.47,10.47,0.271,0.723,0.837,0.406,0.615,0.369,0.492,0.492,0.492,2.052,0.984,1.169,43.68746008090271,20.94954226101767,24.88822652757079,4.697,0.0
Argentina,1968,5.78,15.4,17.82,8.65,5.119,13.09,7.85,10.47,10.47,10.47,0.296,0.788,0.912,0.443,0.67,0.402,0.536,0.536,0.536,2.236,1.072,1.2750000000000001,43.68040632936121,20.94159015432702,24.907208439148278,5.119,0.0
Argentina,1969,5.78,15.4,17.82,8.65,6.052,13.09,7.85,10.47,10.47,10.47,0.35,0.932,1.078,0.523,0.792,0.475,0.634,0.634,0.634,2.644,1.267,1.5070000000000001,43.688037012557835,20.935228023793787,24.900859220092535,6.052000000000001,-1.7763568394002505e-15
Argentina,1970,5.78,15.4,17.82,8.65,6.115,13.09,7.85,10.47,10.47,10.47,0.353,0.942,1.09,0.529,0.8,0.48,0.64,0.64,0.64,2.672,1.28,1.522,43.69582992641047,20.932134096484056,24.889615699100574,6.113999999999998,0.0010000000000021103
Argentina,1971,5.78,15.4,17.82,8.65,6.446,13.09,7.85,10.47,10.47,10.47,0.373,0.993,1.149,0.558,0.844,0.506,0.675,0.675,0.675,2.817,1.35,1.606,43.701520322680736,20.943220601923677,24.91467576791809,6.4479999999999995,-0.0019999999999997797
Argentina,1972,5.78,15.4,17.82,8.65,6.725,13.09,7.85,10.47,10.47,10.47,0.389,1.036,1.198,0.582,0.88,0.528,0.704,0.704,0.704,2.9379999999999997,1.408,1.6749999999999998,43.687732342007436,20.936802973977695,24.907063197026023,6.724999999999999,8.881784197001252e-16
Argentina,1973,5.78,15.4,17.82,8.65,10.174,13.09,7.85,10.47,10.47,10.47,0.588,1.567,1.813,0.88,1.332,0.799,1.065,1.065,1.065,4.445,2.1310000000000002,2.533,43.6897975230981,20.945547473953216,24.896795753882444,10.174,0.0
Argentina,1974,5.78,15.4,17.82,8.65,14.025,13.09,7.85,10.47,10.47,10.47,0.811,2.16,2.499,1.213,1.836,1.101,1.468,1.468,1.468,6.127000000000001,2.9370000000000003,3.492,43.68627450980392,20.94117647058824,24.89839572192513,14.024000000000001,0.0009999999999994458
Argentina,1975,5.78,15.4,17.82,8.65,10.153,13.09,7.85,10.47,10.47,10.47,0.587,1.564,1.809,0.878,1.329,0.797,1.063,1.063,1.063,4.436,2.126,2.528,43.69151974785777,20.939623756525165,24.899044617354477,10.153,0.0
Argentina,1976,5.78,15.4,17.82,8.65,9.907,13.09,7.85,10.47,10.47,10.47,0.573,1.526,1.766,0.857,1.297,0.778,1.037,1.037,1.037,4.329,2.075,2.4669999999999996,43.69637629958615,20.944786514585648,24.901584738063992,9.908000000000001,-0.0010000000000012221
Argentina,1977,5.78,15.4,17.82,8.65,10.994,13.09,7.85,10.47,10.47,10.47,0.635,1.693,1.959,0.951,1.439,0.863,1.151,1.151,1.151,4.803,2.302,2.737,43.68746589048572,20.938693832999817,24.89539748953975,10.993,0.0009999999999994458
Argentina,1978,5.78,15.4,17.82,8.65,17.242,13.09,7.85,10.47,10.47,10.47,0.997,2.655,3.072,1.491,2.257,1.353,1.805,1.805,1.805,7.532,3.6100000000000003,4.293,43.684027375014495,20.937246259134675,24.89850365386846,17.24,0.0020000000000024443
Argentina,1979,5.78,15.4,17.82,8.65,13.409,13.09,7.85,10.47,10.47,10.47,0.775,2.065,2.389,1.16,1.755,1.053,1.404,1.404,1.404,5.858,2.808,3.3389999999999995,43.68707584458199,20.94115892311134,24.901185770750985,13.408999999999999,1.7763568394002505e-15
Argentina,1980,5.78,15.4,17.82,8.65,14.901,13.09,7.85,10.47,10.47,10.47,0.861,2.295,2.655,1.289,1.951,1.17,1.56,1.56,1.56,6.51,3.121,3.71,43.68834306422388,20.944903026642507,24.897657875310383,14.901000000000002,-1.7763568394002505e-15
Argentina,1981,5.78,15.4,17.82,8.65,15.233,13.09,7.85,10.47,10.47,10.47,0.88,2.346,2.715,1.318,1.994,1.196,1.595,1.595,1.595,6.656,3.19,3.793,43.6946103853476,20.941377273025665,24.899888400183812,15.234000000000002,-0.0010000000000012221
Argentina,1982,5.78,15.4,17.82,8.65,16.324,13.09,7.85,10.47,10.47,10.47,0.944,2.514,2.909,1.412,2.137,1.281,1.709,1.709,1.709,7.132,3.418,4.0649999999999995,43.69027199215878,20.938495466797352,24.90198480764518,16.323999999999998,3.552713678800501e-15
Argentina,1983,5.78,15.4,17.82,8.65,20.132,13.09,7.85,10.47,10.47,10.47,1.164,3.1,3.588,1.741,2.635,1.58,2.108,2.108,2.108,8.796000000000001,4.215,5.013,43.691635207629645,20.936817007748857,24.900655672561093,20.132,0.0
Argentina,1984,5.78,15.4,17.82,8.65,22.637,13.09,7.85,10.47,10.47,10.47,1.308,3.486,4.034,1.958,2.963,1.777,2.37,2.37,2.37,9.89,4.74,5.636,43.68953483235411,20.9391703847683,24.897292043998764,22.636,0.0010000000000012221
Argentina,1985,5.78,15.4,17.82,8.65,17.068,13.09,7.85,10.47,10.47,10.47,0.987,2.628,3.041,1.476,2.234,1.34,1.787,1.787,1.787,7.456,3.574,4.25,43.684087180689005,20.93977033044293,24.9003984063745,17.067,0.0010000000000012221
